address,name,size,calls,called_by,decompiled
3ab8:0000,FUN_3ab8_0000,297,3,1,1
3ab8:014c,FUN_3ab8_014c,309,4,2,1
3ab8:0281,FUN_3ab8_0281,558,4,0,1
3ab8:04af,FUN_3ab8_04af,185,2,4,1
3ab8:0568,FUN_3ab8_0568,1029,7,2,1
3ab8:096d,FUN_3ab8_096d,1245,5,1,1
3ab8:0e4a,FUN_3ab8_0e4a,2920,8,1,1
3ab8:19b2,FUN_3ab8_19b2,822,9,2,1
3ab8:1ce8,FUN_3ab8_1ce8,1273,7,1,1
3ab8:21e1,FUN_3ab8_21e1,1413,10,2,1
3ab8:2766,FUN_3ab8_2766,879,2,1,1
3ab8:2ad5,FUN_3ab8_2ad5,1753,5,1,1
3ab8:31ae,FUN_3ab8_31ae,353,3,1,1
3ab8:330f,FUN_3ab8_330f,3340,8,0,1
3ab8:401b,FUN_3ab8_401b,105,1,1,1
3ab8:4084,FUN_3ab8_4084,2637,11,0,1
3ab8:4ad1,FUN_3ab8_4ad1,448,4,0,1
3ab8:4c91,FUN_3ab8_4c91,38,0,1,1
3ab8:4cb7,FUN_3ab8_4cb7,732,7,1,1
3ab8:4fbd,FUN_3ab8_4fbd,10,0,2,1
3ab8:4fc8,FUN_3ab8_4fc8,213,3,1,1
3ab8:5089,FUN_3ab8_5089,5,0,3,1
3ab8:50be,FUN_3ab8_50be,24,0,1,1
3ab8:50d6,FUN_3ab8_50d6,168,6,1,1
3ab8:517f,FUN_3ab8_517f,9,1,2,1
3ab8:5188,FUN_3ab8_5188,115,1,1,1
3ab8:5218,FUN_3ab8_5218,23,0,2,1
3ab8:522f,FUN_3ab8_522f,183,5,2,1
3ab8:52e6,FUN_3ab8_52e6,84,1,0,1
3ab8:533a,FUN_3ab8_533a,8498,22,1,1
3ab8:768f,FUN_3ab8_768f,55,1,1,1
3ab8:76c6,FUN_3ab8_76c6,246,2,1,1
3ab8:77bc,FUN_3ab8_77bc,1318,9,1,1
3ab8:7ce2,FUN_3ab8_7ce2,3008,10,1,1
