address,name,size,calls,called_by,decompiled
3ab8:0000,FUN_3ab8_0000,63,1,3,1
3ab8:0052,FUN_3ab8_0052,93,3,5,1
3ab8:00af,FUN_3ab8_00af,382,5,1,1
3ab8:022d,FUN_3ab8_022d,511,5,1,1
3ab8:042c,FUN_3ab8_042c,396,4,2,1
3ab8:05b8,FUN_3ab8_05b8,2447,15,2,1
3ab8:0f47,FUN_3ab8_0f47,3695,17,1,1
3ab8:1db6,FUN_3ab8_1db6,1006,9,1,1
3ab8:21a4,FUN_3ab8_21a4,153,3,2,1
3ab8:223d,FUN_3ab8_223d,286,2,2,1
3ab8:235b,FUN_3ab8_235b,1140,13,1,1
3ab8:27cf,FUN_3ab8_27cf,1376,10,1,1
3ab8:2d2f,FUN_3ab8_2d2f,1126,14,0,1
3ab8:3195,FUN_3ab8_3195,1814,17,0,1
3ab8:38ab,FUN_3ab8_38ab,932,8,2,1
3ab8:3c4f,FUN_3ab8_3c4f,492,4,2,1
3ab8:3e3b,FUN_3ab8_3e3b,382,5,0,1
3ab8:3fb9,FUN_3ab8_3fb9,1497,7,0,1
3ab8:45cd,FUN_3ab8_45cd,30,1,0,1
3ab8:4fbd,FUN_3ab8_4fbd,1224,7,1,1
3ab8:522f,FUN_3ab8_522f,849,6,1,1
3ab8:5824,FUN_3ab8_5824,581,6,0,1
3ab8:5b01,FUN_3ab8_5b01,1554,6,1,1
4000:0cb6,FUN_4000_0cb6,1926,12,0,1
