address,name,size,calls,called_by,decompiled
3ab8:0000,FUN_3ab8_0000,860,2,1,1
3ab8:035c,FUN_3ab8_035c,62,2,2,1
3ab8:039a,FUN_3ab8_039a,62,2,1,1
3ab8:03d8,FUN_3ab8_03d8,921,3,1,1
3ab8:0771,FUN_3ab8_0771,115,1,1,1
3ab8:07e4,FUN_3ab8_07e4,342,2,1,1
3ab8:093a,FUN_3ab8_093a,365,6,2,1
3ab8:0aa7,FUN_3ab8_0aa7,251,1,1,1
3ab8:0ba2,FUN_3ab8_0ba2,1519,6,2,1
3ab8:11a2,FUN_3ab8_11a2,489,5,2,1
3ab8:2051,FUN_3ab8_2051,1378,9,1,1
3ab8:25b9,FUN_3ab8_25b9,1166,8,1,1
3ab8:2a4d,FUN_3ab8_2a4d,427,5,1,1
3ab8:2bf8,FUN_3ab8_2bf8,533,3,1,1
3ab8:2e0d,FUN_3ab8_2e0d,538,5,1,1
3ab8:3027,FUN_3ab8_3027,440,2,1,1
3ab8:31df,FUN_3ab8_31df,5698,23,0,1
3ab8:4844,FUN_3ab8_4844,1004,5,1,1
3ab8:4c30,FUN_3ab8_4c30,96,1,0,1
3ab8:4c91,FUN_3ab8_4c91,143,2,1,1
3ab8:4fbd,FUN_3ab8_4fbd,1672,6,2,1
