address,name,size,calls,called_by,decompiled
3ab8:0000,FUN_3ab8_0000,312,4,2,1
3ab8:0138,FUN_3ab8_0138,629,6,3,1
3ab8:03ad,FUN_3ab8_03ad,4579,14,1,1
3ab8:1590,FUN_3ab8_1590,564,3,2,1
3ab8:17c4,FUN_3ab8_17c4,172,2,1,1
3ab8:3167,FUN_3ab8_3167,5386,27,0,1
3ab8:4671,FUN_3ab8_4671,936,5,1,1
3ab8:4a19,FUN_3ab8_4a19,632,8,0,1
3ab8:4c91,FUN_3ab8_4c91,18,0,1,1
3ab8:4ca3,FUN_3ab8_4ca3,286,2,1,1
3ab8:4e5f,FUN_3ab8_4e5f,800,5,1,1
3ab8:517f,FUN_3ab8_517f,105,3,2,1
3ab8:522f,FUN_3ab8_522f,5178,21,2,1
3ab8:6669,FUN_3ab8_6669,420,5,1,1
3ab8:680d,FUN_3ab8_680d,9066,24,0,1
