address,name,size,calls,called_by,decompiled
3ab8:0000,FUN_3ab8_0000,292,2,1,1
3ab8:0163,FUN_3ab8_0163,181,3,1,1
3ab8:0218,FUN_3ab8_0218,46,1,1,1
3ab8:0246,FUN_3ab8_0246,22,2,1,1
3ab8:025c,FUN_3ab8_025c,117,2,3,1
3ab8:02d1,FUN_3ab8_02d1,57,2,1,1
3ab8:030a,FUN_3ab8_030a,11209,19,1,1
3ab8:2ed3,FUN_3ab8_2ed3,58,1,1,1
3ab8:2f0d,FUN_3ab8_2f0d,532,7,1,1
3ab8:3121,FUN_3ab8_3121,117,2,1,1
3ab8:3196,FUN_3ab8_3196,5012,23,1,1
3ab8:47aa,FUN_3ab8_47aa,813,9,0,1
3ab8:4c91,FUN_3ab8_4c91,34,0,1,1
3ab8:4fbd,FUN_3ab8_4fbd,34,0,2,1
3ab8:5089,FUN_3ab8_5089,34,0,3,1
3ab8:517f,FUN_3ab8_517f,34,0,2,1
3ab8:522f,FUN_3ab8_522f,34,0,2,1
