address,name,size,calls,called_by,decompiled
3ab8:0000,FUN_3ab8_0000,23,1,1,1
3ab8:0321,FUN_3ab8_0321,729,12,1,1
3ab8:05fa,FUN_3ab8_05fa,1287,6,1,1
3ab8:0b01,FUN_3ab8_0b01,426,5,0,1
3ab8:0cab,FUN_3ab8_0cab,1876,8,1,1
3000:bf7f,FUN_3000_bf7f,7945,24,0,1
3ab8:3308,FUN_3ab8_3308,1018,9,1,1
3ab8:3702,FUN_3ab8_3702,237,5,1,1
3ab8:37ef,FUN_3ab8_37ef,284,2,3,1
3ab8:390b,FUN_3ab8_390b,2885,15,1,1
3ab8:4450,FUN_3ab8_4450,266,4,2,1
3000:f0da,FUN_3000_f0da,1744,10,0,1
3ab8:4c2a,FUN_3ab8_4c2a,40,2,0,1
3ab8:4c52,FUN_3ab8_4c52,62,1,1,1
3ab8:4c91,FUN_3ab8_4c91,74,2,1,1
3ab8:4cdb,FUN_3ab8_4cdb,513,7,0,1
3ab8:4edc,FUN_3ab8_4edc,225,2,1,1
3ab8:4fbd,FUN_3ab8_4fbd,440,5,2,1
3ab8:5176,FUN_3ab8_5176,185,2,1,1
3ab8:522f,FUN_3ab8_522f,142,4,2,1
3ab8:52c1,FUN_3ab8_52c1,3687,17,1,1
