address,name,size,calls,called_by,decompiled
3ab8:0000,FUN_3ab8_0000,51,1,0,1
3ab8:0033,FUN_3ab8_0033,183,3,0,1
3ab8:00ea,FUN_3ab8_00ea,51,1,0,1
3ab8:011d,FUN_3ab8_011d,103,4,5,1
3ab8:0184,FUN_3ab8_0184,198,6,6,1
3ab8:024a,FUN_3ab8_024a,168,3,0,1
3ab8:02f2,FUN_3ab8_02f2,57,2,0,1
3ab8:1805,FUN_3ab8_1805,1166,15,0,1
3ab8:1c93,FUN_3ab8_1c93,1060,11,1,1
3ab8:20b7,FUN_3ab8_20b7,108,3,1,1
3ab8:2123,FUN_3ab8_2123,475,9,1,1
3ab8:22fe,FUN_3ab8_22fe,231,6,0,1
3ab8:23e5,FUN_3ab8_23e5,529,7,0,1
3ab8:25f6,FUN_3ab8_25f6,65,1,1,1
3ab8:2637,FUN_3ab8_2637,159,4,0,1
3ab8:26d6,FUN_3ab8_26d6,72,1,0,1
3ab8:271e,FUN_3ab8_271e,570,11,1,1
3ab8:2958,FUN_3ab8_2958,84,2,0,1
3ab8:29ac,FUN_3ab8_29ac,325,7,0,1
3ab8:2af1,FUN_3ab8_2af1,154,4,0,1
3ab8:2b8b,FUN_3ab8_2b8b,228,5,0,1
3ab8:4030,FUN_3ab8_4030,2640,10,1,1
3ab8:4a80,FUN_3ab8_4a80,572,8,0,1
3ab8:4fbd,FUN_3ab8_4fbd,200,4,1,1
3ab8:5089,FUN_3ab8_5089,103,5,2,1
3ab8:518a,FUN_3ab8_518a,4,0,2,1
3ab8:518e,FUN_3ab8_518e,1518,11,0,1
3ab8:577d,FUN_3ab8_577d,997,8,1,1
3ab8:5b62,FUN_3ab8_5b62,30,1,4,1
3ab8:5b80,FUN_3ab8_5b80,33,1,2,1
3ab8:5ba1,FUN_3ab8_5ba1,42,1,2,1
3ab8:5bcb,FUN_3ab8_5bcb,51,2,1,1
3ab8:5bfe,FUN_3ab8_5bfe,65,2,1,1
3ab8:5c3f,FUN_3ab8_5c3f,570,8,1,1
3ab8:5e79,FUN_3ab8_5e79,2923,17,1,1
3ab8:69e4,FUN_3ab8_69e4,520,8,1,1
3ab8:6bec,FUN_3ab8_6bec,59,1,1,1
3ab8:6c27,FUN_3ab8_6c27,705,5,1,1
3ab8:6ee8,FUN_3ab8_6ee8,1484,14,1,1
4000:2034,FUN_4000_2034,5168,34,0,1
