address,name,size,calls,called_by,decompiled
3ab8:0000,FUN_3ab8_0000,127,2,5,1
3ab8:007f,FUN_3ab8_007f,164,2,1,1
3ab8:0123,FUN_3ab8_0123,277,5,1,1
3ab8:0238,FUN_3ab8_0238,784,9,2,1
3ab8:0548,FUN_3ab8_0548,779,5,1,1
3ab8:0853,FUN_3ab8_0853,649,7,2,1
3ab8:0adc,FUN_3ab8_0adc,470,8,2,1
3ab8:0cb2,FUN_3ab8_0cb2,4572,18,0,1
3ab8:1e8e,FUN_3ab8_1e8e,1628,10,0,1
3ab8:24ea,FUN_3ab8_24ea,147,2,1,1
3ab8:2581,FUN_3ab8_2581,643,6,0,1
3ab8:2804,FUN_3ab8_2804,1445,9,1,1
3ab8:2da9,FUN_3ab8_2da9,26,1,0,1
3ab8:2ef4,FUN_3ab8_2ef4,4761,20,0,1
3ab8:3295,FUN_3ab8_3295,492,8,1,1
3ab8:3481,FUN_3ab8_3481,706,3,0,1
3ab8:3743,FUN_3ab8_3743,406,3,1,1
3ab8:38d9,FUN_3ab8_38d9,98,1,1,1
3ab8:393b,FUN_3ab8_393b,124,1,0,1
3ab8:49e1,FUN_3ab8_49e1,688,4,1,1
3ab8:4c91,FUN_3ab8_4c91,222,4,1,1
3ab8:4d6f,FUN_3ab8_4d6f,6,0,1,1
3ab8:4d75,FUN_3ab8_4d75,128,2,1,1
3ab8:4df5,FUN_3ab8_4df5,349,6,0,1
3ab8:4f52,FUN_3ab8_4f52,108,1,0,1
3ab8:4fbd,FUN_3ab8_4fbd,293,2,2,1
3ab8:50e3,FUN_3ab8_50e3,155,1,0,1
3ab8:517f,FUN_3ab8_517f,176,0,2,1
3ab8:522f,FUN_3ab8_522f,1300,12,2,1
3ab8:5743,FUN_3ab8_5743,762,8,0,1
