address,name,size,calls,called_by,decompiled
3ab8:0000,FUN_3ab8_0000,43,2,1,1
3ab8:002b,FUN_3ab8_002b,144,4,1,1
3ab8:00bb,FUN_3ab8_00bb,188,3,1,1
3ab8:0177,FUN_3ab8_0177,259,1,1,1
3ab8:027a,FUN_3ab8_027a,264,1,1,1
3ab8:0382,FUN_3ab8_0382,115,1,1,1
3ab8:03f5,FUN_3ab8_03f5,431,2,1,1
3ab8:05a4,FUN_3ab8_05a4,961,7,1,1
3ab8:0965,FUN_3ab8_0965,69,1,1,1
3ab8:09aa,FUN_3ab8_09aa,419,2,1,1
3ab8:0b4d,FUN_3ab8_0b4d,547,1,1,1
3ab8:0d70,FUN_3ab8_0d70,29,2,1,1
3ab8:0d8d,FUN_3ab8_0d8d,37,1,2,1
3ab8:0db2,FUN_3ab8_0db2,60,1,2,1
3ab8:0dee,FUN_3ab8_0dee,94,2,1,1
3ab8:0e4c,FUN_3ab8_0e4c,1474,10,1,1
3ab8:140e,FUN_3ab8_140e,1085,2,1,1
3ab8:1853,FUN_3ab8_1853,94,1,1,1
3ab8:18b1,FUN_3ab8_18b1,5857,20,1,1
3ab8:2fb5,FUN_3ab8_2fb5,150,1,1,1
3ab8:304b,FUN_3ab8_304b,322,5,2,1
3ab8:319a,FUN_3ab8_319a,75,2,1,1
3ab8:31e5,FUN_3ab8_31e5,75,2,1,1
3ab8:3230,FUN_3ab8_3230,3229,12,3,1
3ab8:3ecd,FUN_3ab8_3ecd,42,2,2,1
3ab8:3ef7,FUN_3ab8_3ef7,42,2,2,1
3ab8:3f21,FUN_3ab8_3f21,980,13,0,1
3ab8:42f9,FUN_3ab8_42f9,75,3,2,1
3ab8:4344,FUN_3ab8_4344,75,3,1,1
3ab8:438f,FUN_3ab8_438f,33,2,1,1
3ab8:43b0,FUN_3ab8_43b0,780,3,0,1
3ab8:46bc,FUN_3ab8_46bc,1015,11,2,1
3ab8:4c91,FUN_3ab8_4c91,1778,6,1,1
3ab8:59d7,FUN_3ab8_59d7,294,4,2,1
3ab8:5afd,FUN_3ab8_5afd,533,3,2,1
3ab8:5d12,FUN_3ab8_5d12,174,5,1,1
3ab8:5dc0,FUN_3ab8_5dc0,702,8,3,1
3ab8:607e,FUN_3ab8_607e,837,7,1,1
3ab8:63c3,FUN_3ab8_63c3,799,3,1,1
3ab8:66e2,FUN_3ab8_66e2,64,1,1,1
3ab8:6722,FUN_3ab8_6722,163,4,2,1
3ab8:67c5,FUN_3ab8_67c5,123,2,0,1
3ab8:687b,FUN_3ab8_687b,3551,22,1,1
3ab8:76b2,FUN_3ab8_76b2,732,6,1,1
3ab8:7994,FUN_3ab8_7994,2283,18,0,1
