address,name,size,calls,called_by,decompiled
3ab8:0000,OVL_0000,1304,9,0,1
3ab8:051b,FUN_3ab8_051b,524,5,1,1
3ab8:0727,FUN_3ab8_0727,10615,15,0,1
3ab8:309e,FUN_3ab8_309e,1209,7,1,1
3ab8:3557,FUN_3ab8_3557,636,3,1,1
3ab8:37d3,FUN_3ab8_37d3,2103,4,1,1
3ab8:400a,FUN_3ab8_400a,3204,11,0,1
3ab8:4c91,FUN_3ab8_4c91,76,1,1,1
3ab8:4cdd,FUN_3ab8_4cdd,252,1,1,1
3ab8:4dd9,FUN_3ab8_4dd9,379,1,1,1
3ab8:4f54,FUN_3ab8_4f54,105,1,2,1
3ab8:4fbd,FUN_3ab8_4fbd,44,0,2,1
3ab8:4fe9,FUN_3ab8_4fe9,44,2,1,1
3ab8:5015,FUN_3ab8_5015,103,1,0,1
3ab8:507c,FUN_3ab8_507c,12,0,1,1
3ab8:5089,FUN_3ab8_5089,246,3,3,1
3ab8:517f,FUN_3ab8_517f,422,3,2,1
3ab8:566c,FUN_3ab8_566c,1058,8,1,1
3ab8:5ab6,FUN_3ab8_5ab6,301,1,1,1
3ab8:5be3,FUN_3ab8_5be3,7700,16,1,1
3ab8:7a02,FUN_3ab8_7a02,709,7,0,1
3ab8:7ce2,FUN_3ab8_7ce2,211,3,1,1
3ab8:7db5,FUN_3ab8_7db5,235,3,1,1
3ab8:7ea0,FUN_3ab8_7ea0,1197,14,0,1
3ab8:83aa,FUN_3ab8_83aa,193,4,1,1
3ab8:846b,FUN_3ab8_846b,107,2,5,1
3ab8:84d6,FUN_3ab8_84d6,208,3,0,1
3ab8:85a6,FUN_3ab8_85a6,249,4,0,1
3ab8:869f,FUN_3ab8_869f,216,3,0,1
3ab8:8777,FUN_3ab8_8777,232,3,0,1
3ab8:885f,FUN_3ab8_885f,300,4,0,1
3ab8:898b,FUN_3ab8_898b,172,4,0,1
4000:35b7,FUN_4000_35b7,400,6,0,1
